# Program:featureCounts v1.6.2; Command:"featureCounts" "-a" "/athena/angsd/scratch/jiq4001/Pj//hg38.refGene.gtf" "-o" "/athena/angsd/scratch/jiq4001/Pj1/reads_count/featCounts_transcript_all.txt" "--minOverlap" "25" "-t" "transcript" "-g" "gene_id" "--primary" "--tmpDir" "/scratchLocal" "/athena/angsd/scratch/jiq4001/Pj1/Star_align/SRR11244251.Aligned.sortedByCoord.out.bam" "/athena/angsd/scratch/jiq4001/Pj1/Star_align/SRR11244252.Aligned.sortedByCoord.out.bam" "/athena/angsd/scratch/jiq4001/Pj1/Star_align/SRR11244253.Aligned.sortedByCoord.out.bam" "/athena/angsd/scratch/jiq4001/Pj1/Star_align/SRR11244254.Aligned.sortedByCoord.out.bam" "/athena/angsd/scratch/jiq4001/Pj1/Star_align/SRR11244255.Aligned.sortedByCoord.out.bam" "/athena/angsd/scratch/jiq4001/Pj1/Star_align/SRR11244256.Aligned.sortedByCoord.out.bam" 
Geneid	Chr	Start	End	Strand	Length	/athena/angsd/scratch/jiq4001/Pj1/Star_align/SRR11244251.Aligned.sortedByCoord.out.bam	/athena/angsd/scratch/jiq4001/Pj1/Star_align/SRR11244252.Aligned.sortedByCoord.out.bam	/athena/angsd/scratch/jiq4001/Pj1/Star_align/SRR11244253.Aligned.sortedByCoord.out.bam	/athena/angsd/scratch/jiq4001/Pj1/Star_align/SRR11244254.Aligned.sortedByCoord.out.bam	/athena/angsd/scratch/jiq4001/Pj1/Star_align/SRR11244255.Aligned.sortedByCoord.out.bam	/athena/angsd/scratch/jiq4001/Pj1/Star_align/SRR11244256.Aligned.sortedByCoord.out.bam
LOC729737	chr1	134773	140566	-	5794	102	80	66	67	77	81
LOC102725121	chr1	182388	184878	+	2491	15	13	16	23	18	14
FAM138D	chr1;chr12;chr12_GL877875v1_alt	205129;36661;26667	206597;38133;28135	-;-;-	4411	0	0	0	0	0	0
TGIF1	chr18;chr18;chr18;chr18;chr18;chr18;chr18;chr18;chr18;chr18;chr18;chr18;chr18	3412009;3412856;3447542;3448431;3449568;3449707;3449707;3449707;3450172;3451593;3451593;3451593;3453774	3459978;3459978;3459978;3459978;3459978;3459978;3459978;3459978;3459978;3459978;3459978;3459978;3459978	+;+;+;+;+;+;+;+;+;+;+;+;+	47970	11718	10682	9620	9934	9966	9105
PRDX6	chr1	173477335	173488815	+	11481	8940	8469	8065	7320	7650	6976
LOC100132287	chr1;chr5	490756;181323506	495445;181328195	-;+	9380	0	0	0	0	0	0
LOC100132062	chr1;chr5	490756;181323506	495445;181328195	-;+	9380	0	0	0	0	0	0
LOC101928626	chr1	627380	629009	-	1630	0	0	0	0	2	2
CIC	chr19;chr19	42268537;42284665	42295796;42295796	+;+	27260	8934	9653	7119	7211	6608	6291
LOC100133331	chr1	725759	730351	-	4593	156	153	105	112	130	134
LOC100288069	chr1	764865	778688	-	13824	442	325	277	335	367	302
FAM87B	chr1	817371	819834	+	2464	59	48	47	36	52	61
LINC00115	chr1	826206	827522	-	1317	62	54	60	45	49	49
LINC01128	chr1;chr1;chr1;chr1;chr1;chr1	827591;827591;827591;827591;827591;827798	843604;859446;859446;859446;859446;859446	+;+;+;+;+;+	31856	1412	1159	1098	1058	1270	1006
FAM41C	chr1	868071	876802	-	8732	0	22	4	2	6	0
LINC02593	chr1;chr1	916818;916818	919692;919692	-;-	2875	496	499	359	334	420	358
LILRA4	chr19;chr19_GL949753v2_alt;chr19_GL949747v2_alt;chr19_KI270938v1_alt	54333185;314684;314530;315570	54339162;320663;320509;321547	-;-;-;-	23916	0	0	0	0	0	0
PLEC	chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8	143915153;143915153;143915153;143915153;143915153;143915153;143915153;143915153	143953834;143939597;143943985;143973529;143976745;143942624;143950926;143944770	-;-;-;-;-;-;-;-	61593	79966	85645	65037	60265	57759	51911
PLEKHN1	chr1;chr1;chr1	966482;966482;966482	975865;975865;975865	+;+;+	9384	332	238	228	275	306	223
MPP2	chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17	43875359;43875359;43875359;43875359;43875361;43875361;43875361;43875361;43875361	43909711;43909711;43901562;43907942;43907536;43907536;43900624;43907536;43907536	-;-;-;-;-;-;-;-;-	34353	538	438	401	351	308	340
CFTR	chr7	117480025	117668664	+	188640	28	30	26	42	24	34
C1QB	chr1;chr1	22653236;22653236	22661636;22661636	+;+	8401	2	0	0	0	4	0
ELN	chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7	74027789;74027789;74028173;74028173;74028173;74028173;74028173;74028173;74028173;74028173;74028173;74028173;74028173	74069906;74069906;74069906;74069906;74069906;74069906;74069906;74069906;74069906;74069906;74069906;74069906;74069906	+;+;+;+;+;+;+;+;+;+;+;+;+	42118	172	136	132	122	117	126
SEPTIN12	chr16;chr16	4777606;4777606	4788345;4788345	-;-	10740	3	6	6	8	10	6
RBM19	chr12;chr12;chr12	113816740;113822057;113822057	113966325;113966325;113966325	-;-;-	149586	7049	6743	5503	5725	6141	5463
CCDC120	chrX;chrX;chrX;chrX;chrX;chrX	49053572;49058966;49058966;49058966;49058999;49058999	49069854;49069858;49069858;49069858;49069854;49069854	+;+;+;+;+;+	16287	650	765	574	567	544	489
GUCA2A	chr1	42162690	42164745	-	2056	0	0	0	1	0	0
INO80D	chr2;chr2_KQ983256v1_alt	205993721;102739	206086174;195192	-;-	184908	6262	5555	5207	5119	5701	5054
CCDC34	chr11;chr11	27338512;27348872	27363215;27363248	-;-	24737	2231	1951	1815	1760	2200	1696
C12orf43	chr12;chr12;chr12;chr12;chr12;chr12;chr12;chr12	121000486;121000486;121000486;121002422;121002422;121002422;121002422;121002422	121016487;121016487;121016487;121016487;121016487;121016487;121016487;121016487	-;-;-;-;-;-;-;-	16002	1155	1194	944	908	918	859
LOC100288175	chr1	1059734	1066453	+	6720	253	224	181	148	199	131
LILRB5	chr19;chr19;chr19;chr19;chr19_GL949753v2_alt;chr19_GL949753v2_alt;chr19_GL949753v2_alt;chr19_GL949753v2_alt;chr19_KI270938v1_alt;chr19_KI270938v1_alt;chr19_KI270938v1_alt;chr19_KI270938v1_alt;chr19_GL949746v1_alt;chr19_GL949746v1_alt;chr19_GL949746v1_alt;chr19_GL949746v1_alt;chr19_GL949752v1_alt;chr19_GL949752v1_alt;chr19_GL949752v1_alt;chr19_GL949752v1_alt	54249421;54249421;54249421;54250420;224425;224425;224425;225424;224393;224393;224393;225398;224156;224156;224156;225155;224389;224389;224389;225388	54257273;54257273;54257273;54257273;232276;232276;232276;232276;232250;232250;232250;232250;232008;232008;232008;232008;232241;232241;232241;232241	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	39269	0	0	0	0	0	2
CCDC169	chr13;chr13;chr13;chr13;chr13;chr13;chr13	36222004;36222004;36222004;36222004;36230775;36230775;36230775	36297814;36297814;36297814;36297814;36297814;36297814;36297814	-;-;-;-;-;-;-	75811	0	0	0	0	0	0
CLRN1	chr3;chr3;chr3;chr3;chr3	150926163;150926567;150926567;150926567;150926567	150944236;150972999;150972727;150972727;150972727	-;-;-;-;-	46837	28	16	30	40	46	50
SPDYE17	chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7	73021095;73049238;73077348;73105381;77023682;75280709;75308637;75336604	73028500;73056645;73084772;73112786;77031104;75288125;75316053;75344020	-;-;-;-;-;+;+;+	59319	0	0	1	0	0	0
LINC01342	chr1	1137017	1144054	+	7038	0	0	0	1	0	0
RAD17	chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5_GL339449v2_alt;chr5_GL339449v2_alt;chr5_GL339449v2_alt;chr5_GL339449v2_alt;chr5_GL339449v2_alt;chr5_GL339449v2_alt;chr5_GL339449v2_alt;chr5_GL339449v2_alt;chr5_GL339449v2_alt	69369297;69369818;69369818;69369818;69370060;69370705;69371035;69371035;69371454;152493;153014;153014;153014;153256;153901;154231;154231;154647	69414801;69414801;69414801;69414801;69414801;69414801;69414801;69414801;69414801;198226;198224;198224;198224;198226;198224;198226;198226;198226	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	91239	262	216	200	214	230	208
SH2D3C	chr9;chr9;chr9;chr9;chr9;chr9;chr9	127738317;127738317;127738317;127738317;127738317;127738317;127738317	127762418;127762440;127771369;127771294;127755304;127755282;127778666	-;-;-;-;-;-;-	40350	38	44	27	40	38	41
ZNF41	chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX	47445178;47445178;47445178;47445178;47445178;47445178;47445178;47445178;47445178;47445178;47445178;47445178;47445178;47445178;47445178;47445178;47445178;47445178;47445178;47445178	47483269;47467669;47467670;47483269;47482946;47483269;47467670;47483269;47483269;47483269;47483269;47483269;47483269;47467670;47483269;47483269;47482946;47483269;47483269;47482946	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	38092	2348	1964	1913	1885	1974	1839
VPREB1	chr22;chr22	22244786;22244786	22245515;22245515	+;+	730	0	0	0	0	0	0
VIL1	chr2	218419123	218453295	+	34173	586	650	474	490	640	582
MDK	chr11;chr11;chr11;chr11;chr11;chr11;chr11	46380784;46381068;46381669;46381669;46381669;46381669;46381711	46383837;46383837;46383825;46383825;46383825;46383825;46383837	+;+;+;+;+;+;+	3054	44	36	39	52	42	46
AMELX	chrX;chrX;chrX	11293413;11293413;11293413	11300761;11300761;11300761	+;+;+	7349	0	0	0	0	0	0
ALOX15B	chr17;chr17;chr17	8039040;8039059;8039059	8049133;8049133;8049133	+;+;+	10094	0	8	0	4	4	2
SLC25A1	chr22;chr22;chr22;chr22	19175575;19175581;19175581;19175581	19178863;19178505;19178736;19178505	-;-;-;-	3289	3916	4257	3241	3251	3206	2855
DUSP9	chrX;chrX	153642441;153647203	153651326;153651326	+;+	8886	64	70	40	58	39	56
UQCC3	chr11	62671673	62673686	+	2014	910	971	823	757	717	619
MORC4	chrX;chrX	106940738;106940738	107000212;107000212	-;-	59475	14742	13287	12284	12161	12300	10915
SCNN1D	chr1;chr1	1280436;1280436	1292025;1292029	+;+	11594	252	369	258	196	236	200
MRTFB	chr16;chr16;chr16;chr16;chr16;chr16;chr16;chr16;chr16;chr16;chr16;chr16;chr16	14071062;14071313;14071319;14071319;14071319;14071319;14071319;14071319;14186686;14186686;14186686;14186686;14186686	14153205;14266779;14153205;14153205;14266773;14153205;14153205;14266773;14241465;14266773;14266773;14266773;14241465	+;+;+;+;+;+;+;+;+;+;+;+;+	195718	26745	23827	20747	19921	21337	19718
MIR6726	chr1	1296110	1296170	-	61	0	0	0	0	0	0
SNORD167	chr1	1304729	1304812	-	84	0	0	0	0	0	0
PUSL1	chr1;chr1;chr1	1308580;1308580;1308597	1311677;1311677;1311677	+;+;+	3098	279	364	230	229	208	168
MSRB3	chr12;chr12;chr12;chr12	65278683;65278683;65278683;65278987	65466907;65466907;65466907;65466907	+;+;+;+	188225	9018	7802	7499	7023	7831	6818
FGFR3	chr4;chr4;chr4;chr4;chr4;chr4	1793293;1793293;1793293;1793312;1793312;1793312	1808867;1808867;1808867;1808872;1808872;1808872	+;+;+;+;+;+	15580	780	610	534	534	592	498
EWSR1	chr22;chr22;chr22;chr22;chr22	29268268;29268268;29268268;29268268;29268268	29300521;29290683;29300521;29300521;29300521	+;+;+;+;+	32254	15322	14137	12967	11810	12703	11416
TMA7	chr3;chr3;chr3	48440257;48440257;48440257	48444208;48444208;48444208	+;+;+	3952	2883	2493	2334	2312	2285	2006
MIR6727	chr1	1312502	1312566	-	65	0	0	0	0	0	0
SMR3A	chr4	70360760	70367158	+	6399	0	0	0	0	0	0
NUPR1	chr16;chr16	28532708;28532708	28538974;28538974	-;-	6267	194	251	116	158	212	166
OSTF1	chr9	75088514	75147265	+	58752	2276	2001	1782	1837	2111	1830
ORC3	chr6;chr6;chr6	87590067;87590067;87590067	87667454;87667454;87667454	+;+;+	77388	4413	4004	3663	3685	4056	3538
MIR6808	chr1	1339650	1339708	-	59	0	0	0	0	0	0
MXRA8	chr1;chr1;chr1;chr1;chr1	1352689;1352689;1352689;1352691;1352691	1358547;1363541;1358794;1361799;1358555	-;-;-;-;-	10853	820	884	551	628	510	482
SERPINC1	chr1;chr1	173903519;173903804	173917327;173917378	-;-	13860	55	66	64	82	75	74
SPRED2	chr2;chr2	65310851;65310851	65432599;65366778	-;-	121749	11366	10407	9658	9827	10486	9621
AK8	chr9;chr9;chr9;chr9;chr9;chr9;chr9	132725578;132725578;132725578;132725578;132725578;132725578;132725578	132878284;132879046;132878284;132878284;132878284;132878284;132879046	-;-;-;-;-;-;-	153469	406	264	268	360	340	303
GALNS	chr16;chr16;chr16	88813734;88813734;88813734	88856947;88856947;88856947	-;-;-	43214	3871	4061	3038	3159	3166	2893
FBXW8	chr12;chr12	116910950;116910956	117031148;117031148	+;+	120199	13428	12451	11114	11429	12061	11283
IKBKG	chrX;chrX;chrX;chrX;chrX;chrX	154542212;154542212;154547620;154547620;154547620;154547847	154565030;154565030;154565030;154565030;154565030;154565046	+;+;+;+;+;+	22835	1364	1687	1173	1101	959	1038
PSME1	chr14;chr14;chr14;chr14;chr14_KZ208920v1_fix;chr14_KZ208920v1_fix;chr14_KZ208920v1_fix;chr14_KZ208920v1_fix	24136158;24136194;24136194;24136194;437136;437172;437172;437172	24138967;24138962;24138962;24138962;439945;439940;439940;439940	+;+;+;+;+;+;+;+	5620	2844	2758	2536	3425	3554	3158
SETDB1	chr1;chr1;chr1;chr1;chr1	150926263;150926363;150926363;150926363;150926363	150964737;150964737;150964737;150964737;150945320	+;+;+;+;+	38475	4672	4062	3819	3731	4004	3480
VSTM1	chr19;chr19;chr19;chr19;chr19;chr19_GL949753v2_alt;chr19_GL949753v2_alt;chr19_GL949753v2_alt;chr19_GL949753v2_alt;chr19_GL949753v2_alt;chr19_GL949749v2_alt;chr19_GL949749v2_alt;chr19_GL949749v2_alt;chr19_GL949749v2_alt;chr19_GL949749v2_alt;chr19_GL949750v2_alt;chr19_GL949750v2_alt;chr19_GL949750v2_alt;chr19_GL949750v2_alt;chr19_GL949750v2_alt;chr19_GL949747v2_alt;chr19_GL949747v2_alt;chr19_GL949747v2_alt;chr19_GL949747v2_alt;chr19_GL949747v2_alt;chr19_KI270938v1_alt;chr19_KI270938v1_alt;chr19_KI270938v1_alt;chr19_KI270938v1_alt;chr19_KI270938v1_alt;chr19_GL949748v2_alt;chr19_GL949748v2_alt;chr19_GL949748v2_alt;chr19_GL949748v2_alt;chr19_GL949748v2_alt;chr19_GL949746v1_alt;chr19_GL949746v1_alt;chr19_GL949746v1_alt;chr19_GL949746v1_alt;chr19_GL949746v1_alt;chr19_GL949751v2_alt;chr19_GL949751v2_alt;chr19_GL949751v2_alt;chr19_GL949751v2_alt;chr19_GL949751v2_alt;chr19_GL949752v1_alt;chr19_GL949752v1_alt;chr19_GL949752v1_alt;chr19_GL949752v1_alt;chr19_GL949752v1_alt	54040826;54040826;54040826;54040826;54040826;15193;15193;15193;15193;15193;15193;15193;15193;15193;15193;15193;15193;15193;15193;15193;15193;15193;15193;15193;15193;15193;15193;15193;15193;15193;15193;15193;15193;15193;15193;15193;15193;15193;15193;15193;15193;15193;15193;15193;15193;15193;15193;15193;15193;15193	54063897;54063953;54063953;54063897;54063897;38264;38264;38320;38320;38264;38264;38320;38320;38264;38264;38264;38264;38320;38320;38264;38264;38264;38320;38320;38264;38264;38264;38264;38320;38320;38264;38320;38320;38264;38264;38264;38264;38320;38320;38264;38264;38264;38264;38320;38320;38264;38264;38320;38320;38264	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	231280	0	0	0	0	0	0
MRPL20-AS1	chr1	1399530	1402046	+	2517	475	485	451	352	370	302
PAQR3	chr4;chr4;chr4;chr4;chr4;chr4;chr4	78911878;78911878;78911878;78911878;78911878;78911878;78911878	78939438;78939438;78939438;78939438;78939438;78939438;78939438	-;-;-;-;-;-;-	27561	2282	1796	1758	1715	1844	1667
LINC01770	chr1;chr1;chr1	1430157;1430157;1430157	1434573;1434573;1434573	-;-;-	4417	14	8	8	10	12	2
KIR2DL4	chr19;chr19;chr19;chr19_KI270931v1_alt;chr19_KI270931v1_alt;chr19_KI270931v1_alt;chr19_KV575256v1_alt;chr19_KV575256v1_alt;chr19_KV575256v1_alt;chr19_KV575246v1_alt;chr19_KV575246v1_alt;chr19_KV575246v1_alt;chr19_KI270918v1_alt;chr19_KI270918v1_alt;chr19_KI270918v1_alt;chr19_KI270917v1_alt;chr19_KI270917v1_alt;chr19_KI270917v1_alt;chr19_GL000209v2_alt;chr19_GL000209v2_alt;chr19_GL000209v2_alt;chr19_GL949747v2_alt;chr19_GL949747v2_alt;chr19_GL949747v2_alt;chr19_KI270890v1_alt;chr19_KI270890v1_alt;chr19_KI270890v1_alt;chr19_KI270891v1_alt;chr19_KI270891v1_alt;chr19_KI270891v1_alt;chr19_KI270930v1_alt;chr19_KI270930v1_alt;chr19_KI270930v1_alt;chr19_KI270883v1_alt;chr19_KI270883v1_alt;chr19_KI270883v1_alt;chr19_KI270884v1_alt;chr19_KI270884v1_alt;chr19_KI270884v1_alt;chr19_KI270885v1_alt;chr19_KI270885v1_alt;chr19_KI270885v1_alt;chr19_KI270938v1_alt;chr19_KI270938v1_alt;chr19_KI270938v1_alt;chr19_KI270920v1_alt;chr19_KI270920v1_alt;chr19_KI270920v1_alt;chr19_KV575253v1_alt;chr19_KV575253v1_alt;chr19_KV575253v1_alt;chr19_KI270914v1_alt;chr19_KI270914v1_alt;chr19_KI270914v1_alt;chr19_KI270915v1_alt;chr19_KI270915v1_alt;chr19_KI270915v1_alt;chr19_KI270916v1_alt;chr19_KI270916v1_alt;chr19_KI270916v1_alt;chr19_KI270923v1_alt;chr19_KI270923v1_alt;chr19_KI270923v1_alt;chr19_KI270921v1_alt;chr19_KI270921v1_alt;chr19_KI270921v1_alt;chr19_KV575249v1_alt;chr19_KV575249v1_alt;chr19_KV575249v1_alt;chr19_KV575249v1_alt;chr19_KV575249v1_alt;chr19_KV575249v1_alt;chr19_KI270886v1_alt;chr19_KI270886v1_alt;chr19_KI270886v1_alt;chr19_KI270887v1_alt;chr19_KI270887v1_alt;chr19_KI270887v1_alt;chr19_KV575259v1_alt;chr19_KV575259v1_alt;chr19_KV575259v1_alt;chr19_KV575260v1_alt;chr19_KV575260v1_alt;chr19_KV575260v1_alt;chr19_KI270922v1_alt;chr19_KI270922v1_alt;chr19_KI270922v1_alt;chr19_KV575250v1_alt;chr19_KV575250v1_alt;chr19_KV575250v1_alt;chr19_KI270929v1_alt;chr19_KI270929v1_alt;chr19_KI270929v1_alt;chr19_GL949752v1_alt;chr19_GL949752v1_alt;chr19_GL949752v1_alt;chr19_KI270882v1_alt;chr19_KI270882v1_alt;chr19_KI270882v1_alt;chr19_KV575251v1_alt;chr19_KV575251v1_alt;chr19_KV575251v1_alt;chr19_KV575252v1_alt;chr19_KV575252v1_alt;chr19_KV575252v1_alt;chr19_KI270933v1_alt;chr19_KI270933v1_alt;chr19_KI270933v1_alt;chr19_KI270932v1_alt;chr19_KI270932v1_alt;chr19_KI270932v1_alt;chr19_KI270888v1_alt;chr19_KI270888v1_alt;chr19_KI270888v1_alt;chr19_KI270889v1_alt;chr19_KI270889v1_alt;chr19_KI270889v1_alt;chr19_KV575248v1_alt;chr19_KV575248v1_alt;chr19_KV575248v1_alt;chr19_KV575247v1_alt;chr19_KV575247v1_alt;chr19_KV575247v1_alt;chr19_KI270919v1_alt;chr19_KI270919v1_alt;chr19_KI270919v1_alt;chr19_KV575255v1_alt;chr19_KV575255v1_alt;chr19_KV575255v1_alt	54803610;54803610;54803610;54043;54043;54043;135594;135594;135594;105242;105242;105242;105164;105164;105164;82509;82509;82509;74867;74867;74867;421466;421466;421466;81938;81938;81938;54566;54566;54566;54367;54367;54367;54292;54292;54292;54497;54497;54497;54860;54860;54860;786179;786179;786179;90438;90438;90438;105168;105168;105168;44454;44454;44454;54551;54551;54551;82011;82011;82011;80976;80976;80976;146611;146611;146611;105208;105208;105208;210619;210619;210619;43688;43688;43688;93900;93900;93900;105168;105168;105168;91600;91600;91600;79509;79509;79509;105227;105227;105227;77774;77774;77774;707932;707932;707932;88224;88224;88224;105193;105193;105193;105016;105016;105016;54387;54387;54387;54893;54893;54893;52989;52989;52989;54551;54551;54551;105206;105206;105206;105253;105253;105253;54561;54561;54561;105206;105206;105206	54814517;54814517;54814517;64993;64993;64993;146510;146510;146510;116152;116152;116152;116149;116149;116149;93459;93459;93459;85783;85783;85783;432382;432382;432382;92854;92854;92854;65516;65516;65516;65276;65276;65276;65240;65240;65240;65407;65407;65407;65810;65810;65810;797086;797086;797086;101388;101388;101388;116116;116116;116116;55402;55402;55402;65501;65501;65501;92927;92927;92927;91883;91883;91883;157527;157527;157527;116124;116124;116124;221535;221535;221535;54598;54598;54598;104816;104816;104816;116118;116118;116118;102507;102507;102507;90459;90459;90459;116143;116143;116143;88724;88724;88724;718882;718882;718882;99140;99140;99140;116143;116143;116143;115966;115966;115966;65295;65295;65295;65841;65841;65841;63939;63939;63939;65501;65501;65501;116154;116154;116154;116160;116160;116160;65468;65468;65468;116154;116154;116154	+;+;+;-;-;-;+;+;+;+;+;+;+;+;+;+;+;+;-;-;-;+;+;+;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;+;+;+;+;+;+;+;+;+;-;-;-;-;-;-;-;-;-;+;+;+;+;+;+;+;+;+;+;+;+;-;-;-;-;-;-;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;-;-;-;+;+;+;+;+;+;-;-;-;-;-;-;-;-;-;-;-;-;+;+;+;+;+;+;-;-;-;+;+;+	470081	0	0	0	0	0	0
CARD8	chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19	48203148;48203148;48208086;48208086;48208086;48208086;48208086;48208086;48208086;48208086;48208086;48208086;48208086;48208086;48208086;48208086;48208086;48208086;48208086;48208086;48238261	48255946;48255946;48255912;48255912;48255912;48255912;48255912;48255912;48255912;48255912;48249828;48249633;48249633;48255912;48241063;48255912;48249847;48249847;48255912;48255912;48255946	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	52799	4111	3801	3583	3606	3699	3646
PPIP5K2	chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5	103120301;103120301;103120301;103120301;103120301;103120301;103120301;103120301;103120301;103120301;103120301	103212799;103212799;103212799;103212799;103212799;103212799;103212799;103212799;103212799;103212799;103212799	+;+;+;+;+;+;+;+;+;+;+	92499	10432	9230	8703	8072	8954	8294
